ODA/PALLFNF_INDEX,All Commodity Price Index
ODA/USA_BCA_NGDPD,"United States Current Account Balance, % of GDP"
ODA/USA_GGSB_NPGDP,"United States General Government Structural Balance, % of GDP"
ODA/URY_NGDP_R,"Uruguay GDP at Constant Prices, LCU Billions"
ODA/USA_GGXONLB,"United States General Government Primary Net Lending/Borrowing, USD Billions"
ODA/USA_GGXWDN,"United States General Government Net Debt, USD Billions"
ODA/URY_NGDP,"Uruguay GDP at Current Prices, LCU Billions"
ODA/URY_NGDPRPC,"Uruguay GDP per Capita at Constant Prices, LCU"
ODA/USA_BCA,"United States Current Account Balance, USD Billions"
ODA/URY_PPPGDP,"Uruguay Country GDP based on PPP Valuation, USD Billions"
ODA/URY_PPPSH,"Uruguay Share of World GDP based on PPP, %"
ODA/URY_NGDP_RPCH,"Uruguay GDP at Constant Prices, % change"
ODA/URY_NID_NGDP,"Uruguay Total Investment, % of GDP"
ODA/URY_NGSD_NGDP,"Uruguay Gross National Savings, % of GDP"
ODA/URY_NGDPD,"Uruguay GDP at Current Prices, USD Billions"
ODA/URY_PCPI,"Uruguay Inflation Index, Average Consumer Prices"
ODA/URY_NGDP_D,Uruguay GDP Deflator
ODA/URY_PCPIPCH,"Uruguay Inflation % change, Average Consumer Prices"
ODA/URY_NGDPPC,"Uruguay GDP per Capita at Current Prices, LCU"
ODA/URY_NGDPDPC,"Uruguay GDP per Capita at Current Prices, USD"
ODA/URY_TMG_RPCH,"Uruguay Imports of Goods, % change"
ODA/URY_PPPPC,"Uruguay Per Capita GDP based on PPP Valuation, USD"
ODA/URY_TX_RPCH,"Uruguay Exports of Goods and services, % change"
ODA/URY_TXG_RPCH,"Uruguay Exports of Goods, % change"
ODA/URY_PPPEX,"Uruguay Implied PPP Conversion Rate, LCU per USD"
ODA/URY_LP,"Uruguay Population, Millions"
ODA/URY_GGR,"Uruguay General Government Revenue, USD Billions"
ODA/URY_PCPIE,"Uruguay Inflation Index, End of Period Consumer Prices"
ODA/URY_GGX,"Uruguay General Government Total Expenditure, USD Billions"
ODA/URY_PCPIEPCH,"Uruguay Inflation % change, End of Period Consumer Prices"
ODA/URY_GGX_NGDP,"Uruguay General Government Total Expenditure, % of GDP"
ODA/URY_TM_RPCH,"Uruguay Imports of Goods and services, % change"
ODA/URY_GGXCNL,"Uruguay General Government Net Lending/Borrowing, USD Billions"
ODA/URY_GGXCNL_NGDP,"Uruguay General Government Net Lending/Borrowing, % of GDP"
ODA/URY_LUR,"Uruguay Unemployment Rate, % of Total Labor Force"
ODA/URY_GGXONLB_NGDP,"Uruguay General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/URY_GGXWDN,"Uruguay General Government Net Debt, USD Billions"
ODA/URY_GGXWDN_NGDP,"Uruguay General Government Net Debt, % of GDP"
ODA/URY_GGR_NGDP,"Uruguay General Government Revenue, % of GDP"
ODA/URY_NGDP_FY,"Uruguay GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/URY_BCA_NGDPD,"Uruguay Current Account Balance, % of GDP"
ODA/URY_GGXONLB,"Uruguay General Government Primary Net Lending/Borrowing, USD Billions"
ODA/UZB_NGDP_RPCH,"Uzbekistan GDP at Constant Prices, % change"
ODA/UZB_NGDPD,"Uzbekistan GDP at Current Prices, USD Billions"
ODA/UZB_NGDP_D,Uzbekistan GDP Deflator
ODA/URY_GGXWDG,"Uruguay General Government Gross Debt, USD Billions"
ODA/URY_GGXWDG_NGDP,"Uruguay General Government Gross Debt, % of GDP"
ODA/UZB_NGDPRPC,"Uzbekistan GDP per Capita at Constant Prices, LCU"
ODA/URY_BCA,"Uruguay Current Account Balance, USD Billions"
ODA/UZB_NGDPDPC,"Uzbekistan GDP per Capita at Current Prices, USD"
ODA/UZB_PPPPC,"Uzbekistan Per Capita GDP based on PPP Valuation, USD"
ODA/UZB_NGDP_R,"Uzbekistan GDP at Constant Prices, LCU Billions"
ODA/UZB_PPPEX,"Uzbekistan Implied PPP Conversion Rate, LCU per USD"
ODA/UZB_NGDP,"Uzbekistan GDP at Current Prices, LCU Billions"
ODA/UZB_NGSD_NGDP,"Uzbekistan Gross National Savings, % of GDP"
ODA/UZB_PCPIPCH,"Uzbekistan Inflation % change, Average Consumer Prices"
ODA/UZB_NGDPPC,"Uzbekistan GDP per Capita at Current Prices, LCU"
ODA/UZB_TM_RPCH,"Uzbekistan Imports of Goods and services, % change"
ODA/UZB_PPPGDP,"Uzbekistan Country GDP based on PPP Valuation, USD Billions"
ODA/UZB_PPPSH,"Uzbekistan Share of World GDP based on PPP, %"
ODA/UZB_TX_RPCH,"Uzbekistan Exports of Goods and services, % change"
ODA/UZB_NID_NGDP,"Uzbekistan Total Investment, % of GDP"
ODA/UZB_LP,"Uzbekistan Population, Millions"
ODA/UZB_PCPI,"Uzbekistan Inflation Index, Average Consumer Prices"
ODA/UZB_GGR_NGDP,"Uzbekistan General Government Revenue, % of GDP"
ODA/UZB_PCPIE,"Uzbekistan Inflation Index, End of Period Consumer Prices"
ODA/UZB_GGX_NGDP,"Uzbekistan General Government Total Expenditure, % of GDP"
ODA/UZB_PCPIEPCH,"Uzbekistan Inflation % change, End of Period Consumer Prices"
ODA/UZB_GGXCNL_NGDP,"Uzbekistan General Government Net Lending/Borrowing, % of GDP"
ODA/UZB_TMG_RPCH,"Uzbekistan Imports of Goods, % change"
ODA/UZB_GGXONLB,"Uzbekistan General Government Primary Net Lending/Borrowing, USD Billions"
ODA/UZB_GGXONLB_NGDP,"Uzbekistan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/UZB_TXG_RPCH,"Uzbekistan Exports of Goods, % change"
ODA/UZB_GGXWDG,"Uzbekistan General Government Gross Debt, USD Billions"
ODA/UZB_GGR,"Uzbekistan General Government Revenue, USD Billions"
ODA/UZB_BCA,"Uzbekistan Current Account Balance, USD Billions"
ODA/UZB_GGX,"Uzbekistan General Government Total Expenditure, USD Billions"
ODA/VUT_NGDP_R,"Vanuatu GDP at Constant Prices, LCU Billions"
ODA/UZB_GGXCNL,"Uzbekistan General Government Net Lending/Borrowing, USD Billions"
ODA/VUT_NGDP_RPCH,"Vanuatu GDP at Constant Prices, % change"
ODA/VUT_NGDP_D,Vanuatu GDP Deflator
ODA/UZB_GGXWDG_NGDP,"Uzbekistan General Government Gross Debt, % of GDP"
ODA/VUT_NGDPPC,"Vanuatu GDP per Capita at Current Prices, LCU"
ODA/UZB_NGDP_FY,"Uzbekistan GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/VUT_PPPGDP,"Vanuatu Country GDP based on PPP Valuation, USD Billions"
ODA/UZB_BCA_NGDPD,"Uzbekistan Current Account Balance, % of GDP"
ODA/VUT_PPPSH,"Vanuatu Share of World GDP based on PPP, %"
ODA/VUT_NGDP,"Vanuatu GDP at Current Prices, LCU Billions"
ODA/VUT_PCPIPCH,"Vanuatu Inflation % change, Average Consumer Prices"
ODA/VUT_NGDPD,"Vanuatu GDP at Current Prices, USD Billions"
ODA/VUT_PCPIEPCH,"Vanuatu Inflation % change, End of Period Consumer Prices"
ODA/VUT_NGDPRPC,"Vanuatu GDP per Capita at Constant Prices, LCU"
ODA/VUT_GGR,"Vanuatu General Government Revenue, USD Billions"
ODA/VUT_NGDPDPC,"Vanuatu GDP per Capita at Current Prices, USD"
ODA/VUT_PPPPC,"Vanuatu Per Capita GDP based on PPP Valuation, USD"
ODA/VUT_GGX,"Vanuatu General Government Total Expenditure, USD Billions"
ODA/VUT_PPPEX,"Vanuatu Implied PPP Conversion Rate, LCU per USD"
ODA/VUT_GGXCNL,"Vanuatu General Government Net Lending/Borrowing, USD Billions"
ODA/VUT_PCPI,"Vanuatu Inflation Index, Average Consumer Prices"
ODA/VUT_GGXWDG,"Vanuatu General Government Gross Debt, USD Billions"
ODA/VUT_PCPIE,"Vanuatu Inflation Index, End of Period Consumer Prices"
ODA/VUT_NGDP_FY,"Vanuatu GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/VUT_LP,"Vanuatu Population, Millions"
ODA/VUT_GGR_NGDP,"Vanuatu General Government Revenue, % of GDP"
ODA/VEN_NGDP_R,"Venezuela GDP at Constant Prices, LCU Billions"
ODA/VUT_GGX_NGDP,"Vanuatu General Government Total Expenditure, % of GDP"
ODA/VEN_NGDPD,"Venezuela GDP at Current Prices, USD Billions"
ODA/VUT_GGXCNL_NGDP,"Vanuatu General Government Net Lending/Borrowing, % of GDP"
ODA/VUT_GGXWDG_NGDP,"Vanuatu General Government Gross Debt, % of GDP"
ODA/VEN_NGDPPC,"Venezuela GDP per Capita at Current Prices, LCU"
ODA/VUT_BCA,"Vanuatu Current Account Balance, USD Billions"
ODA/VUT_BCA_NGDPD,"Vanuatu Current Account Balance, % of GDP"
ODA/VEN_PPPPC,"Venezuela Per Capita GDP based on PPP Valuation, USD"
ODA/VEN_PPPSH,"Venezuela Share of World GDP based on PPP, %"
ODA/VEN_NGDP_RPCH,"Venezuela GDP at Constant Prices, % change"
ODA/VEN_NGDP,"Venezuela GDP at Current Prices, LCU Billions"
ODA/VEN_NID_NGDP,"Venezuela Total Investment, % of GDP"
ODA/VEN_NGDP_D,Venezuela GDP Deflator
ODA/VEN_PCPI,"Venezuela Inflation Index, Average Consumer Prices"
ODA/VEN_NGDPRPC,"Venezuela GDP per Capita at Constant Prices, LCU"
ODA/VEN_PCPIPCH,"Venezuela Inflation % change, Average Consumer Prices"
ODA/VEN_NGDPDPC,"Venezuela GDP per Capita at Current Prices, USD"
ODA/VEN_PPPGDP,"Venezuela Country GDP based on PPP Valuation, USD Billions"
ODA/VEN_TM_RPCH,"Venezuela Imports of Goods and services, % change"
ODA/VEN_PPPEX,"Venezuela Implied PPP Conversion Rate, LCU per USD"
ODA/VEN_TX_RPCH,"Venezuela Exports of Goods and services, % change"
ODA/VEN_TXG_RPCH,"Venezuela Exports of Goods, % change"
ODA/VEN_NGSD_NGDP,"Venezuela Gross National Savings, % of GDP"
ODA/VEN_LP,"Venezuela Population, Millions"
ODA/VEN_PCPIE,"Venezuela Inflation Index, End of Period Consumer Prices"
ODA/VEN_GGR_NGDP,"Venezuela General Government Revenue, % of GDP"
ODA/VEN_PCPIEPCH,"Venezuela Inflation % change, End of Period Consumer Prices"
ODA/VEN_TMG_RPCH,"Venezuela Imports of Goods, % change"
ODA/VEN_GGSB,"Venezuela General Government Structural Balance, USD Billions"
ODA/VEN_LUR,"Venezuela Unemployment Rate, % of Total Labor Force"
ODA/VEN_GGXONLB,"Venezuela General Government Primary Net Lending/Borrowing, USD Billions"
ODA/VEN_GGR,"Venezuela General Government Revenue, USD Billions"
ODA/VEN_GGXWDG,"Venezuela General Government Gross Debt, USD Billions"
ODA/VEN_NGDP_FY,"Venezuela GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/VEN_GGX,"Venezuela General Government Total Expenditure, USD Billions"
ODA/VEN_BCA,"Venezuela Current Account Balance, USD Billions"
ODA/VEN_GGX_NGDP,"Venezuela General Government Total Expenditure, % of GDP"
ODA/VEN_GGXCNL,"Venezuela General Government Net Lending/Borrowing, USD Billions"
ODA/VEN_GGXCNL_NGDP,"Venezuela General Government Net Lending/Borrowing, % of GDP"
ODA/VNM_NGDP_R,"Vietnam GDP at Constant Prices, LCU Billions"
ODA/VEN_GGSB_NPGDP,"Venezuela General Government Structural Balance, % of GDP"
ODA/VNM_NGDP,"Vietnam GDP at Current Prices, LCU Billions"
ODA/VEN_GGXONLB_NGDP,"Venezuela General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/VNM_NGDP_D,Vietnam GDP Deflator
ODA/VEN_GGXWDG_NGDP,"Venezuela General Government Gross Debt, % of GDP"
ODA/VNM_NGDPPC,"Vietnam GDP per Capita at Current Prices, LCU"
ODA/VEN_BCA_NGDPD,"Venezuela Current Account Balance, % of GDP"
ODA/VNM_PPPGDP,"Vietnam Country GDP based on PPP Valuation, USD Billions"
ODA/VNM_NGDP_RPCH,"Vietnam GDP at Constant Prices, % change"
ODA/VNM_PPPEX,"Vietnam Implied PPP Conversion Rate, LCU per USD"
ODA/VNM_NGDPD,"Vietnam GDP at Current Prices, USD Billions"
ODA/VNM_NGSD_NGDP,"Vietnam Gross National Savings, % of GDP"
ODA/VNM_PCPIPCH,"Vietnam Inflation % change, Average Consumer Prices"
ODA/VNM_NGDPRPC,"Vietnam GDP per Capita at Constant Prices, LCU"
ODA/VNM_PCPIEPCH,"Vietnam Inflation % change, End of Period Consumer Prices"
ODA/VNM_NGDPDPC,"Vietnam GDP per Capita at Current Prices, USD"
ODA/VNM_TMG_RPCH,"Vietnam Imports of Goods, % change"
ODA/VNM_PPPPC,"Vietnam Per Capita GDP based on PPP Valuation, USD"
ODA/VNM_PPPSH,"Vietnam Share of World GDP based on PPP, %"
ODA/VNM_TXG_RPCH,"Vietnam Exports of Goods, % change"
ODA/VNM_NID_NGDP,"Vietnam Total Investment, % of GDP"
ODA/VNM_LP,"Vietnam Population, Millions"
ODA/VNM_PCPI,"Vietnam Inflation Index, Average Consumer Prices"
ODA/VNM_GGR_NGDP,"Vietnam General Government Revenue, % of GDP"
ODA/VNM_PCPIE,"Vietnam Inflation Index, End of Period Consumer Prices"
ODA/VNM_GGX_NGDP,"Vietnam General Government Total Expenditure, % of GDP"
ODA/VNM_TM_RPCH,"Vietnam Imports of Goods and services, % change"
ODA/VNM_GGXCNL_NGDP,"Vietnam General Government Net Lending/Borrowing, % of GDP"
ODA/VNM_TX_RPCH,"Vietnam Exports of Goods and services, % change"
ODA/VNM_GGXONLB,"Vietnam General Government Primary Net Lending/Borrowing, USD Billions"
ODA/VNM_LUR,"Vietnam Unemployment Rate, % of Total Labor Force"
ODA/VNM_GGXWDN,"Vietnam General Government Net Debt, USD Billions"
ODA/VNM_GGR,"Vietnam General Government Revenue, USD Billions"
ODA/VNM_GGXWDG_NGDP,"Vietnam General Government Gross Debt, % of GDP"
ODA/VNM_GGX,"Vietnam General Government Total Expenditure, USD Billions"
ODA/VNM_BCA,"Vietnam Current Account Balance, USD Billions"
ODA/VNM_GGXCNL,"Vietnam General Government Net Lending/Borrowing, USD Billions"
ODA/VNM_GGSB,"Vietnam General Government Structural Balance, USD Billions"
ODA/YEM_NGDP_R,"Yemen GDP at Constant Prices, LCU Billions"
ODA/YEM_NGDP_RPCH,"Yemen GDP at Constant Prices, % change"
ODA/VNM_GGXONLB_NGDP,"Vietnam General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/YEM_NGDP,"Yemen GDP at Current Prices, LCU Billions"
ODA/VNM_GGXWDN_NGDP,"Vietnam General Government Net Debt, % of GDP"
ODA/YEM_NGDPD,"Yemen GDP at Current Prices, USD Billions"
ODA/VNM_GGXWDG,"Vietnam General Government Gross Debt, USD Billions"
ODA/YEM_NGDPRPC,"Yemen GDP per Capita at Constant Prices, LCU"
ODA/VNM_NGDP_FY,"Vietnam GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/YEM_NGDPDPC,"Yemen GDP per Capita at Current Prices, USD"
ODA/VNM_BCA_NGDPD,"Vietnam Current Account Balance, % of GDP"
ODA/YEM_PPPPC,"Yemen Per Capita GDP based on PPP Valuation, USD"
ODA/YEM_PPPSH,"Yemen Share of World GDP based on PPP, %"
ODA/YEM_NID_NGDP,"Yemen Total Investment, % of GDP"
ODA/YEM_PCPI,"Yemen Inflation Index, Average Consumer Prices"
ODA/YEM_NGDP_D,Yemen GDP Deflator
ODA/YEM_PCPIE,"Yemen Inflation Index, End of Period Consumer Prices"
ODA/YEM_NGDPPC,"Yemen GDP per Capita at Current Prices, LCU"
ODA/YEM_TM_RPCH,"Yemen Imports of Goods and services, % change"
ODA/YEM_PPPGDP,"Yemen Country GDP based on PPP Valuation, USD Billions"
ODA/YEM_TMG_RPCH,"Yemen Imports of Goods, % change"
ODA/YEM_PPPEX,"Yemen Implied PPP Conversion Rate, LCU per USD"
ODA/YEM_TXG_RPCH,"Yemen Exports of Goods, % change"
ODA/YEM_NGSD_NGDP,"Yemen Gross National Savings, % of GDP"
ODA/YEM_GGR,"Yemen General Government Revenue, USD Billions"
ODA/YEM_PCPIPCH,"Yemen Inflation % change, Average Consumer Prices"
ODA/YEM_GGX,"Yemen General Government Total Expenditure, USD Billions"
ODA/YEM_PCPIEPCH,"Yemen Inflation % change, End of Period Consumer Prices"
ODA/YEM_GGXCNL,"Yemen General Government Net Lending/Borrowing, USD Billions"
ODA/YEM_GGXONLB,"Yemen General Government Primary Net Lending/Borrowing, USD Billions"
ODA/YEM_TX_RPCH,"Yemen Exports of Goods and services, % change"
ODA/YEM_GGXWDN,"Yemen General Government Net Debt, USD Billions"
ODA/YEM_LP,"Yemen Population, Millions"
ODA/YEM_GGXWDG,"Yemen General Government Gross Debt, USD Billions"
ODA/YEM_GGR_NGDP,"Yemen General Government Revenue, % of GDP"
ODA/YEM_GGX_NGDP,"Yemen General Government Total Expenditure, % of GDP"
ODA/YEM_BCA,"Yemen Current Account Balance, USD Billions"
ODA/YEM_GGXCNL_NGDP,"Yemen General Government Net Lending/Borrowing, % of GDP"
ODA/ZMB_NGDP_R,"Zambia GDP at Constant Prices, LCU Billions"
ODA/YEM_GGXONLB_NGDP,"Yemen General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ZMB_NGDP,"Zambia GDP at Current Prices, LCU Billions"
ODA/YEM_GGXWDN_NGDP,"Yemen General Government Net Debt, % of GDP"
ODA/ZMB_NGDP_D,Zambia GDP Deflator
ODA/YEM_GGXWDG_NGDP,"Yemen General Government Gross Debt, % of GDP"
ODA/YEM_NGDP_FY,"Yemen GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ZMB_NGDPPC,"Zambia GDP per Capita at Current Prices, LCU"
ODA/ZMB_PPPGDP,"Zambia Country GDP based on PPP Valuation, USD Billions"
ODA/YEM_BCA_NGDPD,"Yemen Current Account Balance, % of GDP"
ODA/ZMB_PPPSH,"Zambia Share of World GDP based on PPP, %"
ODA/ZMB_NGDP_RPCH,"Zambia GDP at Constant Prices, % change"
ODA/ZMB_NID_NGDP,"Zambia Total Investment, % of GDP"
ODA/ZMB_NGDPD,"Zambia GDP at Current Prices, USD Billions"
ODA/ZMB_NGDPRPC,"Zambia GDP per Capita at Constant Prices, LCU"
ODA/ZMB_PCPIPCH,"Zambia Inflation % change, Average Consumer Prices"
ODA/ZMB_PCPIEPCH,"Zambia Inflation % change, End of Period Consumer Prices"
ODA/ZMB_NGDPDPC,"Zambia GDP per Capita at Current Prices, USD"
ODA/ZMB_PPPPC,"Zambia Per Capita GDP based on PPP Valuation, USD"
ODA/ZMB_TMG_RPCH,"Zambia Imports of Goods, % change"
ODA/ZMB_PPPEX,"Zambia Implied PPP Conversion Rate, LCU per USD"
ODA/ZMB_TXG_RPCH,"Zambia Exports of Goods, % change"
ODA/ZMB_NGSD_NGDP,"Zambia Gross National Savings, % of GDP"
ODA/ZMB_PCPI,"Zambia Inflation Index, Average Consumer Prices"
ODA/ZMB_GGR,"Zambia General Government Revenue, USD Billions"
ODA/ZMB_PCPIE,"Zambia Inflation Index, End of Period Consumer Prices"
ODA/ZMB_GGX,"Zambia General Government Total Expenditure, USD Billions"
ODA/ZMB_TM_RPCH,"Zambia Imports of Goods and services, % change"
ODA/ZMB_GGXCNL,"Zambia General Government Net Lending/Borrowing, USD Billions"
ODA/ZMB_TX_RPCH,"Zambia Exports of Goods and services, % change"
ODA/ZMB_GGXWDN,"Zambia General Government Net Debt, USD Billions"
ODA/ZMB_LP,"Zambia Population, Millions"
ODA/ZMB_GGXWDG,"Zambia General Government Gross Debt, USD Billions"
ODA/ZMB_GGR_NGDP,"Zambia General Government Revenue, % of GDP"
ODA/ZMB_GGX_NGDP,"Zambia General Government Total Expenditure, % of GDP"
ODA/ZMB_BCA,"Zambia Current Account Balance, USD Billions"
ODA/ZMB_GGXCNL_NGDP,"Zambia General Government Net Lending/Borrowing, % of GDP"
ODA/ZMB_BCA_NGDPD,"Zambia Current Account Balance, % of GDP"
ODA/ZMB_GGXWDN_NGDP,"Zambia General Government Net Debt, % of GDP"
ODA/ZMB_GGXWDG_NGDP,"Zambia General Government Gross Debt, % of GDP"
ODA/ZWE_NGDP_RPCH,"Zimbabwe GDP at Constant Prices, % change"
ODA/ZMB_NGDP_FY,"Zambia GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ZWE_NGDPD,"Zimbabwe GDP at Current Prices, USD Billions"
ODA/ZWE_NGDPRPC,"Zimbabwe GDP per Capita at Constant Prices, LCU"
ODA/ZWE_NGDP_R,"Zimbabwe GDP at Constant Prices, LCU Billions"
ODA/ZWE_NGDP,"Zimbabwe GDP at Current Prices, LCU Billions"
ODA/ZWE_NGDPDPC,"Zimbabwe GDP per Capita at Current Prices, USD"
ODA/ZWE_NGDP_D,Zimbabwe GDP Deflator
ODA/ZWE_PPPGDP,"Zimbabwe Country GDP based on PPP Valuation, USD Billions"
ODA/ZWE_NGDPPC,"Zimbabwe GDP per Capita at Current Prices, LCU"
ODA/ZWE_PPPSH,"Zimbabwe Share of World GDP based on PPP, %"
ODA/ZWE_NID_NGDP,"Zimbabwe Total Investment, % of GDP"
ODA/ZWE_PCPI,"Zimbabwe Inflation Index, Average Consumer Prices"
ODA/ZWE_PPPPC,"Zimbabwe Per Capita GDP based on PPP Valuation, USD"
ODA/ZWE_PPPEX,"Zimbabwe Implied PPP Conversion Rate, LCU per USD"
ODA/ZWE_TMG_RPCH,"Zimbabwe Imports of Goods, % change"
ODA/ZWE_NGSD_NGDP,"Zimbabwe Gross National Savings, % of GDP"
ODA/ZWE_LP,"Zimbabwe Population, Millions"
ODA/ZWE_PCPIPCH,"Zimbabwe Inflation % change, Average Consumer Prices"
ODA/ZWE_PCPIE,"Zimbabwe Inflation Index, End of Period Consumer Prices"
ODA/ZWE_PCPIEPCH,"Zimbabwe Inflation % change, End of Period Consumer Prices"
ODA/ZWE_GGR_NGDP,"Zimbabwe General Government Revenue, % of GDP"
ODA/ZWE_GGX,"Zimbabwe General Government Total Expenditure, USD Billions"
ODA/ZWE_TXG_RPCH,"Zimbabwe Exports of Goods, % change"
ODA/ZWE_GGR,"Zimbabwe General Government Revenue, USD Billions"
ODA/ZWE_GGXCNL_NGDP,"Zimbabwe General Government Net Lending/Borrowing, % of GDP"
ODA/ZWE_GGX_NGDP,"Zimbabwe General Government Total Expenditure, % of GDP"
ODA/ZWE_GGXCNL,"Zimbabwe General Government Net Lending/Borrowing, USD Billions"
ODA/BGD_GGXWDG,"Bangladesh General Government Gross Debt, USD Billions"
ODA/BGD_GGXWDG_NGDP,"Bangladesh General Government Gross Debt, % of GDP"
ODA/DOM_GGXWDN_NGDP,"Dominican Republic General Government Net Debt, % of GDP"
ODA/DOM_GGXWDN,"Dominican Republic General Government Net Debt, USD Billions"
ODA/LVA_LE,"Latvia Employment, Millions"
ODA/LBR_TM_RPCH,"Liberia Imports of Goods and services, % change"
ODA/LBR_TX_RPCH,"Liberia Exports of Goods and services, % change"
ODA/MDV_GGSB,"Maldives General Government Structural Balance, USD Billions"
ODA/MDV_GGXWDN_NGDP,"Maldives General Government Net Debt, % of GDP"
ODA/MDV_GGXWDN,"Maldives General Government Net Debt, USD Billions"
ODA/MAR_GGSB_NPGDP,"Morocco General Government Structural Balance, % of GDP"
ODA/PNG_GGXWDG,"Papua New Guinea General Government Gross Debt, USD Billions"
ODA/PNG_GGXWDG_NGDP,"Papua New Guinea General Government Gross Debt, % of GDP"
ODA/TLS_NGDP_D,Timor-Leste GDP Deflator
ODA/TUN_GGSB_NPGDP,"Tunisia General Government Structural Balance, % of GDP"
ODA/TUV_PCPIEPCH,"Tuvalu Inflation % change, End of Period Consumer Prices"
ODA/TUV_PCPIE,"Tuvalu Inflation Index, End of Period Consumer Prices"
ODA/VUT_NID_NGDP,"Vanuatu Total Investment, % of GDP"
ODA/ZWE_GGXWDG_NGDP,"Zimbabwe General Government Gross Debt, % of GDP"
ODA/ZWE_BCA,"Zimbabwe Current Account Balance, USD Billions"
ODA/ZWE_NGDP_FY,"Zimbabwe GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ZWE_GGXWDG,"Zimbabwe General Government Gross Debt, USD Billions"
ODA/ZWE_BCA_NGDPD,"Zimbabwe Current Account Balance, % of GDP"
ODA/AGO_GGXONLB_NGDP,"Angola General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/AGO_GGXONLB,"Angola General Government Primary Net Lending/Borrowing, USD Billions"
ODA/AZE_GGXONLB,"Azerbaijan General Government Primary Net Lending/Borrowing, USD Billions"
ODA/AZE_GGXONLB_NGDP,"Azerbaijan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BTN_GGXONLB_NGDP,"Bhutan General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BOL_GGXONLB,"Bolivia General Government Primary Net Lending/Borrowing, USD Billions"
ODA/BWA_GGSB,"Botswana General Government Structural Balance, USD Billions"
ODA/BIH_GGXONLB_NGDP,"Bosnia and Herzegovina General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BRN_GGXONLB_NGDP,"Brunei Darussalam General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BOL_GGXONLB_NGDP,"Bolivia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/BTN_GGXONLB,"Bhutan General Government Primary Net Lending/Borrowing, USD Billions"
ODA/BIH_GGXONLB,"Bosnia and Herzegovina General Government Primary Net Lending/Borrowing, USD Billions"
ODA/BRN_GGXONLB,"Brunei Darussalam General Government Primary Net Lending/Borrowing, USD Billions"
ODA/CMR_GGXONLB_NGDP,"Cameroon General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/CMR_GGXONLB,"Cameroon General Government Primary Net Lending/Borrowing, USD Billions"
ODA/CHN_GGXONLB,"China General Government Primary Net Lending/Borrowing, USD Billions"
ODA/CHN_GGXONLB_NGDP,"China General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/COM_GGXONLB_NGDP,"Comoros General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/COM_GGXONLB,"Comoros General Government Primary Net Lending/Borrowing, USD Billions"
ODA/DJI_GGXONLB,"Djibouti General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ECU_GGXONLB_NGDP,"Ecuador General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/DJI_GGXONLB_NGDP,"Djibouti General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/SLV_GGXONLB,"El Salvador General Government Primary Net Lending/Borrowing, USD Billions"
ODA/SLV_GGXONLB_NGDP,"El Salvador General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ECU_GGXONLB,"Ecuador General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ERI_GGXONLB,"Eritrea General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ETH_GGXONLB,"Ethiopia General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GNQ_GGXONLB,"Equatorial Guinea General Government Primary Net Lending/Borrowing, USD Billions"
ODA/GNQ_GGXONLB_NGDP,"Equatorial Guinea General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ERI_GGXONLB_NGDP,"Eritrea General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/FJI_GGXONLB,"Fiji General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ETH_GGXONLB_NGDP,"Ethiopia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/GAB_GGXONLB,"Gabon General Government Primary Net Lending/Borrowing, USD Billions"
ODA/FJI_GGXONLB_NGDP,"Fiji General Government Primary Net Lending/Borrowing, % of GDP Billions"
